mes,dia_mes,semana_mes,semana_anio,dia_sem,dia_anio,sale
10,16,4,42,42,15,3241
11,28,5,48,48,27,3259
12,14,3,50,50,13,3263
9,26,5,39,39,25,3264
9,22,4,38,38,21,3267
12,1,1,48,48,30,3274
8,14,3,33,33,13,3275
10,24,5,43,43,23,3283
12,6,2,49,49,5,3289
11,9,2,45,45,8,3289
9,15,3,37,37,14,3295
11,9,2,45,45,8,3302.08
10,6,2,40,40,5,3303
10,11,3,41,41,10,3307
8,24,4,34,34,23,3309
11,16,3,46,46,15,3315
8,24,4,34,34,23,3325
10,2,2,40,40,1,3330
9,11,3,37,37,10,3335
12,13,3,50,50,12,3342
10,19,4,42,42,18,3352
9,6,2,36,36,5,3353
11,16,3,46,46,15,3364
10,27,5,43,43,26,3384
10,20,4,42,42,19,3392
12,8,2,49,49,7,3405
9,12,3,37,37,11,3413
9,6,2,36,36,5,3418
8,8,2,32,32,7,3419
9,7,2,36,36,6,3427
11,14,3,46,46,13,3436
8,4,1,31,31,3,3437
9,27,5,39,39,26,3439
10,4,2,40,40,3,3444
8,4,1,31,31,3,3466
10,20,4,42,42,19,3469
12,6,2,49,49,5,3477
12,4,2,49,49,3,3478
11,16,3,46,46,15,3483
8,8,2,32,32,7,3486
10,3,2,40,40,2,3504
9,1,1,35,35,31,3509
9,22,4,38,38,21,3516
12,5,2,49,49,4,3521
12,7,2,49,49,6,3542
11,6,2,45,45,5,3544
10,17,4,42,42,16,3559
10,20,4,42,42,19,3563
9,5,2,36,36,4,3569
9,11,3,37,37,10,3578
8,16,3,33,33,15,3581
12,12,3,50,50,11,3584
8,28,5,35,35,27,3606
9,22,4,38,38,21,3612
12,7,2,49,49,6,3647
12,1,1,48,48,30,3666
12,5,2,49,49,4,3666
8,31,5,35,35,30,3679
8,31,5,35,35,30,3679
11,30,5,48,48,29,3684
9,20,4,38,38,19,3697
8,24,4,34,34,23,3721
9,14,3,37,37,13,3731
8,8,2,32,32,7,3733
10,26,5,43,43,25,3745
9,13,3,37,37,12,3755.99
10,16,4,42,42,15,3768
12,12,3,50,50,11,3770
8,7,2,32,32,6,3773
12,6,2,49,49,5,3799
12,12,3,50,50,11,3844
8,14,3,33,33,13,3854
10,31,6,44,44,30,3864
10,11,3,41,41,10,3873
9,29,5,39,39,28,3874
12,5,2,49,49,4,3874
8,14,3,33,33,13,3893
8,11,2,32,32,10,3915
11,6,2,45,45,5,3921
8,4,1,31,31,3,3923
8,31,5,35,35,30,3925
11,9,2,45,45,8,3945
12,1,1,48,48,30,3958
9,19,4,38,38,18,3988
12,15,3,50,50,14,3997
8,11,2,32,32,10,4026
11,22,4,47,47,21,4035
8,31,5,35,35,30,4092
10,16,4,42,42,15,4111
10,18,4,42,42,17,4122
9,26,5,39,39,25,4140
9,29,5,39,39,28,4157
9,11,3,37,37,10,4175
9,7,2,36,36,6,4189
8,11,2,32,32,10,4207
11,29,5,48,48,28,4257
9,18,4,38,38,17,4279
10,31,6,44,44,30,4287
8,8,2,32,32,7,4297
10,16,4,42,42,15,4329
9,22,4,38,38,21,4340
10,16,4,42,42,15,4342
11,16,3,46,46,15,4352
11,20,4,47,47,19,4409
8,4,1,31,31,3,4423
8,24,4,34,34,23,4432
10,17,4,42,42,16,4440
12,6,2,49,49,5,4472
12,4,2,49,49,3,4491
8,31,5,35,35,30,4494
8,18,3,33,33,17,4517
10,13,3,41,41,12,4536
9,25,5,39,39,24,4554
8,11,2,32,32,10,4573
10,13,3,41,41,12,4578
10,2,2,40,40,1,4605
12,6,2,49,49,5,4623
12,13,3,50,50,12,4643
9,11,3,37,37,10,4655
10,5,2,40,40,4,4658
10,12,3,41,41,11,4714
8,11,2,32,32,10,4715
9,18,4,38,38,17,4726
8,11,2,32,32,10,4797
10,27,5,43,43,26,4807
8,7,2,32,32,6,4853
11,7,2,45,45,6,4874
12,14,3,50,50,13,4888
10,9,3,41,41,8,4903
11,16,3,46,46,15,4904
8,4,1,31,31,3,4921
9,5,2,36,36,4,4926
12,12,3,50,50,11,4931
9,13,3,37,37,12,4958
12,13,3,50,50,12,4960
12,6,2,49,49,5,4967
8,15,3,33,33,14,5005
11,6,2,45,45,5,5018
12,4,2,49,49,3,5059
11,14,3,46,46,13,5098
10,20,4,42,42,19,5125
8,31,5,35,35,30,5187
11,21,4,47,47,20,5198
11,21,4,47,47,20,5292
10,27,5,43,43,26,5295
10,26,5,43,43,25,5410
10,20,4,42,42,19,5562
10,10,3,41,41,9,5579
8,4,1,31,31,3,5664
8,11,2,32,32,10,5702
9,18,4,38,38,17,5732
8,17,3,33,33,16,5754
10,24,5,43,43,23,5832
11,16,3,46,46,15,6119
11,20,4,47,47,19,6503
9,19,4,38,38,18,6881
8,15,3,33,33,14,8131
12,6,2,49,49,5,8606
